#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_a_coruna;A Coruña;A Coruña;A Coruña;;A Coruña;;;;;;;;;x
b_ioannina_5;Ioannina;Ioannina;Ioannina;;Ioannina;;;;;;;;;x
b_ioannina_5_adj;Ioanninan;;ioanniner;;;;;;;;;;;x
b_ipswich;Ipswich;Ipswich;Ipswich;;Ipswich;;;;;;;;;x
b_ipswich_adj;Ipswichian;;ipswicher;;;;;;;;;;;x
b_ipswich_2;Ipswich;Ipswich;Ipswich;;Ipswich;;;;;;;;;x
b_ipswich_2_adj;Ipswichian;;ipswicher;;;;;;;;;;;x
b_ipswich_3;Ipswich;Ipswich;Ipswich;;Ipswich;;;;;;;;;x
b_ipswich_3_adj;Ipswichian;;ipswicher;;;;;;;;;;;x
b_ipswich_4;Ipswich;Ipswich;Ipswich;;Ipswich;;;;;;;;;x
b_ipswich_4_adj;Ipswichian;;ipswicher;;;;;;;;;;;x
b_ipswich_5;Ipswich;Ipswich;Ipswich;;Ipswich;;;;;;;;;x
b_ipswich_5_adj;Ipswichian;;ipswicher;;;;;;;;;;;x
b_irakleio;Irákleio;Irákleio;Irákleio;;Irákleio;;;;;;;;;x
b_irakleio_adj;Iráklian;;irákler;;;;;;;;;;;x
b_irakleio_2;Irákleio;Irákleio;Irákleio;;Irákleio;;;;;;;;;x
b_irakleio_2_adj;Iráklian;;irákler;;;;;;;;;;;x
b_irakleio_3;Irákleio;Irákleio;Irákleio;;Irákleio;;;;;;;;;x
b_irakleio_3_adj;Iráklian;;irákler;;;;;;;;;;;x
b_irakleio_4;Irákleio;Irákleio;Irákleio;;Irákleio;;;;;;;;;x
b_irakleio_4_adj;Iráklian;;irákler;;;;;;;;;;;x
b_irakleio_5;Irákleio;Irákleio;Irákleio;;Irákleio;;;;;;;;;x
b_irakleio_5_adj;Iráklian;;irákler;;;;;;;;;;;x
b_irbid;Irbid;Irbid;Irbid;;Irbid;;;;;;;;;x
b_irbid_adj;Irbidian;;irbider;;;;;;;;;;;x
b_irbid_2;Irbid;Irbid;Irbid;;Irbid;;;;;;;;;x
b_irbid_2_adj;Irbidian;;irbider;;;;;;;;;;;x
b_irbid_3;Irbid;Irbid;Irbid;;Irbid;;;;;;;;;x
b_irbid_3_adj;Irbidian;;irbider;;;;;;;;;;;x
b_isernia;Isernia;Isernia;Isernia;;Isernia;;;;;;;;;x
b_isernia_adj;Isernian;;iserner;;;;;;;;;;;x
b_isfahan;Isfahan;Isfahan;Isfahan;;Isfahan;;;;;;;;;x
b_isfahan_adj;Isfahanian;;isfahaner;;;;;;;;;;;x
b_isfahan_2;Isfahan;Isfahan;Isfahan;;Isfahan;;;;;;;;;x
b_isfahan_2_adj;Isfahanian;;isfahaner;;;;;;;;;;;x
b_isfahan_3;Isfahan;Isfahan;Isfahan;;Isfahan;;;;;;;;;x
b_isfahan_3_adj;Isfahanian;;isfahaner;;;;;;;;;;;x
b_isfahan_4;Isfahan;Isfahan;Isfahan;;Isfahan;;;;;;;;;x
b_isfahan_4_adj;Isfahanian;;isfahaner;;;;;;;;;;;x
b_isfahan_5;Isfahan;Isfahan;Isfahan;;Isfahan;;;;;;;;;x
b_isfahan_5_adj;Isfahanian;;isfahaner;;;;;;;;;;;x
b_ishim;Ishim;Ishim;Ishim;;Ishim;;;;;;;;;x
b_ishim_adj;Ishimian;;ishimer;;;;;;;;;;;x
b_ishim_2;Ishim;Ishim;Ishim;;Ishim;;;;;;;;;x
b_ishim_2_adj;Ishimian;;ishimer;;;;;;;;;;;x
b_ishim_3;Ishim;Ishim;Ishim;;Ishim;;;;;;;;;x
b_ishim_3_adj;Ishimian;;ishimer;;;;;;;;;;;x
b_ishim_4;Ishim;Ishim;Ishim;;Ishim;;;;;;;;;x
b_ishim_4_adj;Ishimian;;ishimer;;;;;;;;;;;x
b_ishim_5;Ishim;Ishim;Ishim;;Ishim;;;;;;;;;x
b_ishim_5_adj;Ishimian;;ishimer;;;;;;;;;;;x
b_iskandriya;Iskandriya;Iskandriya;Iskandriya;;Iskandriya;;;;;;;;;x
b_iskandriya_adj;Iskandriyan;;iskandrer;;;;;;;;;;;x
b_islas_baleares;Islas Baleares;Islas Baleares;Islas Baleares;;Islas Baleares;;;;;;;;;x
b_islas_baleares_adj;Islas Balearesian;;Islas Baleareser;;;;;;;;;;;x
b_islas_baleares_2;Islas Baleares;Islas Baleares;Islas Baleares;;Islas Baleares;;;;;;;;;x
b_islas_baleares_2_adj;Islas Balearesian;;Islas Baleareser;;;;;;;;;;;x
b_islas_baleares_3;Islas Baleares;Islas Baleares;Islas Baleares;;Islas Baleares;;;;;;;;;x
b_islas_baleares_3_adj;Islas Balearesian;;Islas Baleareser;;;;;;;;;;;x
b_islas_baleares_4;Islas Baleares;Islas Baleares;Islas Baleares;;Islas Baleares;;;;;;;;;x
b_islas_baleares_4_adj;Islas Balearesian;;Islas Baleareser;;;;;;;;;;;x
b_islas_baleares_5;Islas Baleares;Islas Baleares;Islas Baleares;;Islas Baleares;;;;;;;;;x
b_islas_baleares_5_adj;Islas Balearesian;;Islas Baleareser;;;;;;;;;;;x
b_islas_canarias;Islas Canarias;Islas Canarias;Islas Canarias;;Islas Canarias;;;;;;;;;x
b_islas_canarias_adj;Islas Canariasian;;Islas Canariaser;;;;;;;;;;;x
b_islas_canarias_2;Islas Canarias;Islas Canarias;Islas Canarias;;Islas Canarias;;;;;;;;;x
b_islas_canarias_2_adj;Islas Canariasian;;Islas Canariaser;;;;;;;;;;;x
b_islas_canarias_3;Islas Canarias;Islas Canarias;Islas Canarias;;Islas Canarias;;;;;;;;;x
b_islas_canarias_3_adj;Islas Canariasian;;Islas Canariaser;;;;;;;;;;;x
b_islas_canarias_4;Islas Canarias;Islas Canarias;Islas Canarias;;Islas Canarias;;;;;;;;;x
b_islas_canarias_4_adj;Islas Canariasian;;Islas Canariaser;;;;;;;;;;;x
b_islas_canarias_5;Islas Canarias;Islas Canarias;Islas Canarias;;Islas Canarias;;;;;;;;;x
b_islas_canarias_5_adj;Islas Canariasian;;Islas Canariaser;;;;;;;;;;;x
b_isle_of_man;Isle of Man;Isle of Man;Isle of Man;;Isle of Man;;;;;;;;;x
b_isle_of_man_adj;Isle of Manian;;Isle of Maner;;;;;;;;;;;x
b_isle_of_man_2;Isle of Man;Isle of Man;Isle of Man;;Isle of Man;;;;;;;;;x
b_isle_of_man_2_adj;Isle of Manian;;Isle of Maner;;;;;;;;;;;x
b_isle_of_man_3;Isle of Man;Isle of Man;Isle of Man;;Isle of Man;;;;;;;;;x
b_isle_of_man_3_adj;Isle of Manian;;Isle of Maner;;;;;;;;;;;x
b_isle_of_man_4;Isle of Man;Isle of Man;Isle of Man;;Isle of Man;;;;;;;;;x
b_isle_of_man_4_adj;Isle of Manian;;Isle of Maner;;;;;;;;;;;x
b_isle_of_man_5;Isle of Man;Isle of Man;Isle of Man;;Isle of Man;;;;;;;;;x
b_isle_of_man_5_adj;Isle of Manian;;Isle of Maner;;;;;;;;;;;x
b_ivanovo;Ivanovo;Ivanovo;Ivanovo;;Ivanovo;;;;;;;;;x
b_ivanovo_adj;Ivanovian;;ivanover;;;;;;;;;;;x
b_ivanovo_2;Ivanovo;Ivanovo;Ivanovo;;Ivanovo;;;;;;;;;x
b_ivanovo_2_adj;Ivanovian;;ivanover;;;;;;;;;;;x
b_ivanovo_3;Ivanovo;Ivanovo;Ivanovo;;Ivanovo;;;;;;;;;x
b_ivanovo_3_adj;Ivanovian;;ivanover;;;;;;;;;;;x
b_ivanovo_4;Ivanovo;Ivanovo;Ivanovo;;Ivanovo;;;;;;;;;x
b_ivanovo_4_adj;Ivanovian;;ivanover;;;;;;;;;;;x
b_ivanovo_5;Ivanovo;Ivanovo;Ivanovo;;Ivanovo;;;;;;;;;x
b_ivanovo_5_adj;Ivanovian;;ivanover;;;;;;;;;;;x
b_izhma;Izhma;Izhma;Izhma;;Izhma;;;;;;;;;x
b_izhma_adj;Izhman;;izhmer;;;;;;;;;;;x
b_izhma_2;Izhma;Izhma;Izhma;;Izhma;;;;;;;;;x
b_izhma_2_adj;Izhman;;izhmer;;;;;;;;;;;x
b_izhma_3;Izhma;Izhma;Izhma;;Izhma;;;;;;;;;x
b_izhma_3_adj;Izhman;;izhmer;;;;;;;;;;;x
b_izhma_4;Izhma;Izhma;Izhma;;Izhma;;;;;;;;;x
b_izhma_4_adj;Izhman;;izhmer;;;;;;;;;;;x
b_izhma_5;Izhma;Izhma;Izhma;;Izhma;;;;;;;;;x
b_izhma_5_adj;Izhman;;izhmer;;;;;;;;;;;x
b_izmail;Izmail;Izmail;Izmail;;Izmail;;;;;;;;;x
b_izmail_adj;Izmailian;;izmailer;;;;;;;;;;;x
b_izmir;Izmir;Izmir;Izmir;;Izmir;;;;;;;;;x
b_izmir_adj;Izmirian;;izmirer;;;;;;;;;;;x
b_izmir_2;Izmir;Izmir;Izmir;;Izmir;;;;;;;;;x
b_izmir_2_adj;Izmirian;;izmirer;;;;;;;;;;;x
b_izmir_3;Izmir;Izmir;Izmir;;Izmir;;;;;;;;;x
b_izmir_3_adj;Izmirian;;izmirer;;;;;;;;;;;x
b_izmir_4;Izmir;Izmir;Izmir;;Izmir;;;;;;;;;x
b_izmir_4_adj;Izmirian;;izmirer;;;;;;;;;;;x
b_izmir_5;Izmir;Izmir;Izmir;;Izmir;;;;;;;;;x
b_izmir_5_adj;Izmirian;;izmirer;;;;;;;;;;;x
b_izmit;Izmit;Izmit;Izmit;;Izmit;;;;;;;;;x
b_izmit_adj;Izmitian;;izmiter;;;;;;;;;;;x
b_izmit_2;Izmit;Izmit;Izmit;;Izmit;;;;;;;;;x
b_izmit_2_adj;Izmitian;;izmiter;;;;;;;;;;;x
b_izmit_3;Izmit;Izmit;Izmit;;Izmit;;;;;;;;;x
b_izmit_3_adj;Izmitian;;izmiter;;;;;;;;;;;x
b_izmit_4;Izmit;Izmit;Izmit;;Izmit;;;;;;;;;x
b_izmit_4_adj;Izmitian;;izmiter;;;;;;;;;;;x
b_izmit_5;Izmit;Izmit;Izmit;;Izmit;;;;;;;;;x
b_izmit_5_adj;Izmitian;;izmiter;;;;;;;;;;;x
b_jaarah;Ja'arah;Ja'arah;Ja'arah;;Ja'arah;;;;;;;;;x
b_jaarah_adj;Ja'arahian;;ja'araher;;;;;;;;;;;x
b_jaen;Jaen;Jaen;Jaen;;Jaen;;;;;;;;;x
b_jaen_adj;Jaenian;;jaener;;;;;;;;;;;x
b_jaen_2;Jaen;Jaen;Jaen;;Jaen;;;;;;;;;x
b_jaen_2_adj;Jaenian;;jaener;;;;;;;;;;;x
b_jaen_3;Jaen;Jaen;Jaen;;Jaen;;;;;;;;;x
b_jaen_3_adj;Jaenian;;jaener;;;;;;;;;;;x
b_jaen_4;Jaen;Jaen;Jaen;;Jaen;;;;;;;;;x
b_jaen_4_adj;Jaenian;;jaener;;;;;;;;;;;x
b_jaen_5;Jaen;Jaen;Jaen;;Jaen;;;;;;;;;x
b_jaen_5_adj;Jaenian;;jaener;;;;;;;;;;;x
b_jaffna;Jaffna;Jaffna;Jaffna;;Jaffna;;;;;;;;;x
b_jaffna_adj;Jaffnan;;jaffner;;;;;;;;;;;x
b_jaffna_2;Jaffna;Jaffna;Jaffna;;Jaffna;;;;;;;;;x
b_jaffna_2_adj;Jaffnan;;jaffner;;;;;;;;;;;x
b_jaffna_3;Jaffna;Jaffna;Jaffna;;Jaffna;;;;;;;;;x
b_jaffna_3_adj;Jaffnan;;jaffner;;;;;;;;;;;x
b_jaffna_4;Jaffna;Jaffna;Jaffna;;Jaffna;;;;;;;;;x
b_jaffna_4_adj;Jaffnan;;jaffner;;;;;;;;;;;x
b_jaffna_5;Jaffna;Jaffna;Jaffna;;Jaffna;;;;;;;;;x
b_jaffna_5_adj;Jaffnan;;jaffner;;;;;;;;;;;x
b_jagdalpur;Jagdalpur;Jagdalpur;Jagdalpur;;Jagdalpur;;;;;;;;;x
b_jagdalpur_adj;Jagdalpurian;;jagdalpurer;;;;;;;;;;;x
b_jagdalpur_2;Jagdalpur;Jagdalpur;Jagdalpur;;Jagdalpur;;;;;;;;;x
b_jagdalpur_2_adj;Jagdalpurian;;jagdalpurer;;;;;;;;;;;x
b_jagdalpur_3;Jagdalpur;Jagdalpur;Jagdalpur;;Jagdalpur;;;;;;;;;x
b_jagdalpur_3_adj;Jagdalpurian;;jagdalpurer;;;;;;;;;;;x
b_jagdalpur_4;Jagdalpur;Jagdalpur;Jagdalpur;;Jagdalpur;;;;;;;;;x
b_jagdalpur_4_adj;Jagdalpurian;;jagdalpurer;;;;;;;;;;;x
b_jagdalpur_5;Jagdalpur;Jagdalpur;Jagdalpur;;Jagdalpur;;;;;;;;;x
b_jagdalpur_5_adj;Jagdalpurian;;jagdalpurer;;;;;;;;;;;x
b_jaghbub;Jaghbub;Jaghbub;Jaghbub;;Jaghbub;;;;;;;;;x
b_jaghbub_adj;Jaghbubian;;jaghbuber;;;;;;;;;;;x
b_jaghbub_2;Jaghbub;Jaghbub;Jaghbub;;Jaghbub;;;;;;;;;x
b_jaghbub_2_adj;Jaghbubian;;jaghbuber;;;;;;;;;;;x
b_jaghbub_3;Jaghbub;Jaghbub;Jaghbub;;Jaghbub;;;;;;;;;x
b_jaghbub_3_adj;Jaghbubian;;jaghbuber;;;;;;;;;;;x
b_jaghbub_4;Jaghbub;Jaghbub;Jaghbub;;Jaghbub;;;;;;;;;x
b_jaghbub_4_adj;Jaghbubian;;jaghbuber;;;;;;;;;;;x
b_jaghbub_5;Jaghbub;Jaghbub;Jaghbub;;Jaghbub;;;;;;;;;x
b_jaghbub_5_adj;Jaghbubian;;jaghbuber;;;;;;;;;;;x
b_jaipur;Jaipur;Jaipur;Jaipur;;Jaipur;;;;;;;;;x
b_jaipur_adj;Jaipurian;;jaipurer;;;;;;;;;;;x
b_jaipur_2;Jaipur;Jaipur;Jaipur;;Jaipur;;;;;;;;;x
b_jaipur_2_adj;Jaipurian;;jaipurer;;;;;;;;;;;x
b_jaipur_3;Jaipur;Jaipur;Jaipur;;Jaipur;;;;;;;;;x
b_jaipur_3_adj;Jaipurian;;jaipurer;;;;;;;;;;;x
b_jaipur_4;Jaipur;Jaipur;Jaipur;;Jaipur;;;;;;;;;x
b_jaipur_4_adj;Jaipurian;;jaipurer;;;;;;;;;;;x
b_jaipur_5;Jaipur;Jaipur;Jaipur;;Jaipur;;;;;;;;;x
b_jaipur_5_adj;Jaipurian;;jaipurer;;;;;;;;;;;x
b_jaisalmer;Jaisalmer;Jaisalmer;Jaisalmer;;Jaisalmer;;;;;;;;;x
b_jaisalmer_adj;Jaisalmerian;;jaisalmerer;;;;;;;;;;;x
b_jaisalmer_2;Jaisalmer;Jaisalmer;Jaisalmer;;Jaisalmer;;;;;;;;;x
b_jaisalmer_2_adj;Jaisalmerian;;jaisalmerer;;;;;;;;;;;x
b_jaisalmer_3;Jaisalmer;Jaisalmer;Jaisalmer;;Jaisalmer;;;;;;;;;x
b_jaisalmer_3_adj;Jaisalmerian;;jaisalmerer;;;;;;;;;;;x
b_jaisalmer_4;Jaisalmer;Jaisalmer;Jaisalmer;;Jaisalmer;;;;;;;;;x
b_jaisalmer_4_adj;Jaisalmerian;;jaisalmerer;;;;;;;;;;;x
b_jaisalmer_5;Jaisalmer;Jaisalmer;Jaisalmer;;Jaisalmer;;;;;;;;;x
b_jaisalmer_5_adj;Jaisalmerian;;jaisalmerer;;;;;;;;;;;x
b_jalalabad;Jalalabad;Jalalabad;Jalalabad;;Jalalabad;;;;;;;;;x
b_jalalabad_adj;Jalalabadian;;jalalabader;;;;;;;;;;;x
b_jalalabad_2;Jalalabad;Jalalabad;Jalalabad;;Jalalabad;;;;;;;;;x
b_jalalabad_2_adj;Jalalabadian;;jalalabader;;;;;;;;;;;x
b_jalalabad_3;Jalalabad;Jalalabad;Jalalabad;;Jalalabad;;;;;;;;;x
b_jalalabad_3_adj;Jalalabadian;;jalalabader;;;;;;;;;;;x
b_jalalabad_4;Jalalabad;Jalalabad;Jalalabad;;Jalalabad;;;;;;;;;x
b_jalalabad_4_adj;Jalalabadian;;jalalabader;;;;;;;;;;;x
b_jalalabad_5;Jalalabad;Jalalabad;Jalalabad;;Jalalabad;;;;;;;;;x
b_jalalabad_5_adj;Jalalabadian;;jalalabader;;;;;;;;;;;x
b_jan_mayen;Jan Mayen;Jan Mayen;Jan Mayen;;Jan Mayen;;;;;;;;;x
b_jan_mayen_adj;Jan Mayenian;;Jan Mayener;;;;;;;;;;;x
b_jan_mayen_2;Jan Mayen;Jan Mayen;Jan Mayen;;Jan Mayen;;;;;;;;;x
b_jan_mayen_2_adj;Jan Mayenian;;Jan Mayener;;;;;;;;;;;x
b_jarabulus;Jarabulus;Jarabulus;Jarabulus;;Jarabulus;;;;;;;;;x
b_jarabulus_adj;Jarabulusian;;jarabuluser;;;;;;;;;;;x
b_jasim;Jasim;Jasim;Jasim;;Jasim;;;;;;;;;x
b_jasim_adj;Jasimian;;jasimer;;;;;;;;;;;x
b_jask;Jask;Jask;Jask;;Jask;;;;;;;;;x
b_jask_adj;Jaskian;;jasker;;;;;;;;;;;x
b_jask_2;Jask;Jask;Jask;;Jask;;;;;;;;;x
b_jask_2_adj;Jaskian;;jasker;;;;;;;;;;;x
b_jask_3;Jask;Jask;Jask;;Jask;;;;;;;;;x
b_jask_3_adj;Jaskian;;jasker;;;;;;;;;;;x
b_jask_4;Jask;Jask;Jask;;Jask;;;;;;;;;x
b_jask_4_adj;Jaskian;;jasker;;;;;;;;;;;x
b_jask_5;Jask;Jask;Jask;;Jask;;;;;;;;;x
b_jask_5_adj;Jaskian;;jasker;;;;;;;;;;;x
b_jelgava;Jelgava;Jelgava;Jelgava;;Jelgava;;;;;;;;;x
b_jelgava_adj;Jelgavan;;jelgaver;;;;;;;;;;;x
b_jelgava_2;Jelgava;Jelgava;Jelgava;;Jelgava;;;;;;;;;x
b_jelgava_2_adj;Jelgavan;;jelgaver;;;;;;;;;;;x
b_jelgava_3;Jelgava;Jelgava;Jelgava;;Jelgava;;;;;;;;;x
b_jelgava_3_adj;Jelgavan;;jelgaver;;;;;;;;;;;x
b_jelgava_4;Jelgava;Jelgava;Jelgava;;Jelgava;;;;;;;;;x
b_jelgava_4_adj;Jelgavan;;jelgaver;;;;;;;;;;;x
b_jelgava_5;Jelgava;Jelgava;Jelgava;;Jelgava;;;;;;;;;x
b_jelgava_5_adj;Jelgavan;;jelgaver;;;;;;;;;;;x
b_jenin;Jenin;Jenin;Jenin;;Jenin;;;;;;;;;x
b_jenin_adj;Jeninian;;jeniner;;;;;;;;;;;x
b_jenne;Jenne;Jenne;Jenne;;Jenne;;;;;;;;;x
b_jenne_adj;Jennean;;jenner;;;;;;;;;;;x
b_jenne_2;Jenne;Jenne;Jenne;;Jenne;;;;;;;;;x
b_jenne_2_adj;Jennean;;jenner;;;;;;;;;;;x
b_jenne_3;Jenne;Jenne;Jenne;;Jenne;;;;;;;;;x
b_jenne_3_adj;Jennean;;jenner;;;;;;;;;;;x
b_jenne_4;Jenne;Jenne;Jenne;;Jenne;;;;;;;;;x
b_jenne_4_adj;Jennean;;jenner;;;;;;;;;;;x
b_jenne_5;Jenne;Jenne;Jenne;;Jenne;;;;;;;;;x
b_jenne_5_adj;Jennean;;jenner;;;;;;;;;;;x
b_jerash;Jerash;Jerash;Jerash;;Jerash;;;;;;;;;x
b_jerash_adj;Jerashian;;jerasher;;;;;;;;;;;x
b_jericho;Jericho;Jericho;Jericho;;Jericho;;;;;;;;;x
b_jericho_adj;Jerichian;;jericher;;;;;;;;;;;x
b_jerusalem;Jerusalem;Jerusalem;Jerusalem;;Jerusalem;;;;;;;;;x
b_jerusalem_adj;Jerusalemian;;jerusalemer;;;;;;;;;;;x
b_jerusalem_2;Jerusalem;Jerusalem;Jerusalem;;Jerusalem;;;;;;;;;x
b_jerusalem_2_adj;Jerusalemian;;jerusalemer;;;;;;;;;;;x
b_jessore;Jessore;Jessore;Jessore;;Jessore;;;;;;;;;x
b_jessore_adj;Jessorean;;jessorer;;;;;;;;;;;x
b_jessore_2;Jessore;Jessore;Jessore;;Jessore;;;;;;;;;x
b_jessore_2_adj;Jessorean;;jessorer;;;;;;;;;;;x
b_jessore_3;Jessore;Jessore;Jessore;;Jessore;;;;;;;;;x
b_jessore_3_adj;Jessorean;;jessorer;;;;;;;;;;;x
b_jessore_4;Jessore;Jessore;Jessore;;Jessore;;;;;;;;;x
b_jessore_4_adj;Jessorean;;jessorer;;;;;;;;;;;x
b_jessore_5;Jessore;Jessore;Jessore;;Jessore;;;;;;;;;x
b_jessore_5_adj;Jessorean;;jessorer;;;;;;;;;;;x
b_jidda;Jidda;Jidda;Jidda;;Jidda;;;;;;;;;x
b_jidda_adj;Jiddan;;jidder;;;;;;;;;;;x
b_jidda_2;Jidda;Jidda;Jidda;;Jidda;;;;;;;;;x
b_jidda_2_adj;Jiddan;;jidder;;;;;;;;;;;x
b_jidda_3;Jidda;Jidda;Jidda;;Jidda;;;;;;;;;x
b_jidda_3_adj;Jiddan;;jidder;;;;;;;;;;;x
b_jidda_4;Jidda;Jidda;Jidda;;Jidda;;;;;;;;;x
b_jidda_4_adj;Jiddan;;jidder;;;;;;;;;;;x
b_jidda_5;Jidda;Jidda;Jidda;;Jidda;;;;;;;;;x
b_jidda_5_adj;Jiddan;;jidder;;;;;;;;;;;x
b_jinja;Jinja;Jinja;Jinja;;Jinja;;;;;;;;;x
b_jinja_adj;Jinjan;;jinjer;;;;;;;;;;;x
b_jinja_2;Jinja;Jinja;Jinja;;Jinja;;;;;;;;;x
b_jinja_2_adj;Jinjan;;jinjer;;;;;;;;;;;x
b_jinja_3;Jinja;Jinja;Jinja;;Jinja;;;;;;;;;x
b_jinja_3_adj;Jinjan;;jinjer;;;;;;;;;;;x
b_jinja_4;Jinja;Jinja;Jinja;;Jinja;;;;;;;;;x
b_jinja_4_adj;Jinjan;;jinjer;;;;;;;;;;;x
b_jinja_5;Jinja;Jinja;Jinja;;Jinja;;;;;;;;;x
b_jinja_5_adj;Jinjan;;jinjer;;;;;;;;;;;x
b_jisr_ash_shugur;Jisr ash-Shugur;Jisr ash-Shugur;Jisr ash-Shugur;;Jisr ash-Shugur;;;;;;;;;x
b_jisr_ash_shugur_adj;Jisr ash-Shugurian;;Jisr ash-Shugurer;;;;;;;;;;;x
b_jodhpur;Jodhpur;Jodhpur;Jodhpur;;Jodhpur;;;;;;;;;x
b_jodhpur_adj;Jodhpurian;;jodhpurer;;;;;;;;;;;x
b_jodhpur_2;Jodhpur;Jodhpur;Jodhpur;;Jodhpur;;;;;;;;;x
b_jodhpur_2_adj;Jodhpurian;;jodhpurer;;;;;;;;;;;x
b_jodhpur_3;Jodhpur;Jodhpur;Jodhpur;;Jodhpur;;;;;;;;;x
b_jodhpur_3_adj;Jodhpurian;;jodhpurer;;;;;;;;;;;x
b_jodhpur_4;Jodhpur;Jodhpur;Jodhpur;;Jodhpur;;;;;;;;;x
b_jodhpur_4_adj;Jodhpurian;;jodhpurer;;;;;;;;;;;x
b_jodhpur_5;Jodhpur;Jodhpur;Jodhpur;;Jodhpur;;;;;;;;;x
b_jodhpur_5_adj;Jodhpurian;;jodhpurer;;;;;;;;;;;x
b_jos;Jos;Jos;Jos;;Jos;;;;;;;;;x
b_jos_adj;Josian;;joser;;;;;;;;;;;x
b_jos_2;Jos;Jos;Jos;;Jos;;;;;;;;;x
b_jos_2_adj;Josian;;joser;;;;;;;;;;;x
b_jos_3;Jos;Jos;Jos;;Jos;;;;;;;;;x
b_jos_3_adj;Josian;;joser;;;;;;;;;;;x
b_jos_4;Jos;Jos;Jos;;Jos;;;;;;;;;x
b_jos_4_adj;Josian;;joser;;;;;;;;;;;x
b_jos_5;Jos;Jos;Jos;;Jos;;;;;;;;;x
b_jos_5_adj;Josian;;joser;;;;;;;;;;;x
b_jubbulpore;Jubbulpore;Jubbulpore;Jubbulpore;;Jubbulpore;;;;;;;;;x
b_jubbulpore_adj;Jubbulporean;;jubbulporer;;;;;;;;;;;x
b_jubbulpore_2;Jubbulpore;Jubbulpore;Jubbulpore;;Jubbulpore;;;;;;;;;x
b_jubbulpore_2_adj;Jubbulporean;;jubbulporer;;;;;;;;;;;x
b_jubbulpore_3;Jubbulpore;Jubbulpore;Jubbulpore;;Jubbulpore;;;;;;;;;x
b_jubbulpore_3_adj;Jubbulporean;;jubbulporer;;;;;;;;;;;x
b_jubbulpore_4;Jubbulpore;Jubbulpore;Jubbulpore;;Jubbulpore;;;;;;;;;x
b_jubbulpore_4_adj;Jubbulporean;;jubbulporer;;;;;;;;;;;x
b_jubbulpore_5;Jubbulpore;Jubbulpore;Jubbulpore;;Jubbulpore;;;;;;;;;x
b_jubbulpore_5_adj;Jubbulporean;;jubbulporer;;;;;;;;;;;x
b_judenburg;Judenburg;Judenburg;Judenburg;;Judenburg;;;;;;;;;x
b_judenburg_adj;Judenburgian;;judenburger;;;;;;;;;;;x
b_judenburg_2;Judenburg;Judenburg;Judenburg;;Judenburg;;;;;;;;;x
b_judenburg_2_adj;Judenburgian;;judenburger;;;;;;;;;;;x
b_judenburg_3;Judenburg;Judenburg;Judenburg;;Judenburg;;;;;;;;;x
b_judenburg_3_adj;Judenburgian;;judenburger;;;;;;;;;;;x
b_jugu;Jugu;Jugu;Jugu;;Jugu;;;;;;;;;x
b_jugu_adj;Jugian;;juger;;;;;;;;;;;x
b_jugu_2;Jugu;Jugu;Jugu;;Jugu;;;;;;;;;x
b_jugu_2_adj;Jugian;;juger;;;;;;;;;;;x
b_jugu_3;Jugu;Jugu;Jugu;;Jugu;;;;;;;;;x
b_jugu_3_adj;Jugian;;juger;;;;;;;;;;;x
b_jugu_4;Jugu;Jugu;Jugu;;Jugu;;;;;;;;;x
b_jugu_4_adj;Jugian;;juger;;;;;;;;;;;x
b_jugu_5;Jugu;Jugu;Jugu;;Jugu;;;;;;;;;x
b_jugu_5_adj;Jugian;;juger;;;;;;;;;;;x
b_jumla;Jumla;Jumla;Jumla;;Jumla;;;;;;;;;x
b_jumla_adj;Jumlan;;jumler;;;;;;;;;;;x
b_jumla_2;Jumla;Jumla;Jumla;;Jumla;;;;;;;;;x
b_jumla_2_adj;Jumlan;;jumler;;;;;;;;;;;x
b_jumla_3;Jumla;Jumla;Jumla;;Jumla;;;;;;;;;x
b_jumla_3_adj;Jumlan;;jumler;;;;;;;;;;;x
b_jumla_4;Jumla;Jumla;Jumla;;Jumla;;;;;;;;;x
b_jumla_4_adj;Jumlan;;jumler;;;;;;;;;;;x
b_jumla_5;Jumla;Jumla;Jumla;;Jumla;;;;;;;;;x
b_jumla_5_adj;Jumlan;;jumler;;;;;;;;;;;x
b_junaynah;Junaynah;Junaynah;Junaynah;;Junaynah;;;;;;;;;x
b_junaynah_adj;Junaynahian;;junaynaher;;;;;;;;;;;x
b_junaynah_2;Junaynah;Junaynah;Junaynah;;Junaynah;;;;;;;;;x
b_junaynah_2_adj;Junaynahian;;junaynaher;;;;;;;;;;;x
b_junaynah_3;Junaynah;Junaynah;Junaynah;;Junaynah;;;;;;;;;x
b_junaynah_3_adj;Junaynahian;;junaynaher;;;;;;;;;;;x
b_junaynah_4;Junaynah;Junaynah;Junaynah;;Junaynah;;;;;;;;;x
b_junaynah_4_adj;Junaynahian;;junaynaher;;;;;;;;;;;x
b_junaynah_5;Junaynah;Junaynah;Junaynah;;Junaynah;;;;;;;;;x
b_junaynah_5_adj;Junaynahian;;junaynaher;;;;;;;;;;;x
b_kabudrahang;Kabudrahang;Kabudrahang;Kabudrahang;;Kabudrahang;;;;;;;;;x
b_kabudrahang_adj;Kabudrahangian;;kabudrahanger;;;;;;;;;;;x
