communist;Communist;Communist;Communist;;Communist;;;;;;;;;x
EVTOPTBOryx_abortion.03;Why would I kill my child?;Why would I kill my child?;Why would I kill my child?;;Why would I kill my child?;;;;;;;;;x
EVTDESCOryx_abortion.04;Against my best wishes, my wife has decided to cancel her abortion, bringing another child into the world.;Against my best wishes, my wife has decided to cancel her abortion, bringing another child into the world.;Against my best wishes, my wife has decided to cancel her abortion, bringing another child into the world.;;Against my best wishes, my wife has decided to cancel her abortion, bringing another child into the world.;;;;;;;;;x
EVTOPTAOryx_abortion.04;Curses!;Curses!;Curses!;;Curses!;;;;;;;;;x
EVTDESCOryx_abortion.05;My wife has done what I asked, and gone ahead with her abortion, preventing the unwanted child from coming into the world.;My wife has done what I asked, and gone ahead with her abortion, preventing the unwanted child from coming into the world.;My wife has done what I asked, and gone ahead with her abortion, preventing the unwanted child from coming into the world.;;My wife has done what I asked, and gone ahead with her abortion, preventing the unwanted child from coming into the world.;;;;;;;;;x
EVTOPTAOryx_abortion.05;I love you sweetie;I love you sweetie;I love you sweetie;;I love you sweetie;;;;;;;;;x
EVTDESCOryxRNG.01;Due to my leftist policy, a large amount of money is now passing through my government. Perhaps nobody would notice if a little money went 'missing.';Due to my leftist policy, a large amount of money is now passing through my government. Perhaps nobody would notice if a little money went 'missing.';Due to my leftist policy, a large amount of money is now passing through my government. Perhaps nobody would notice if a little money went 'missing.';;Due to my leftist policy, a large amount of money is now passing through my government. Perhaps nobody would notice if a little money went 'missing.';;;;;;;;;x
EVTOPTAOryxRNG.01;A few coins won't be missed;A few coins won't be missed;A few coins won't be missed;;A few coins won't be missed;;;;;;;;;x
EVTOPTBOryxRNG.01;Money must further the common good!;Money must further the common good!;Money must further the common good!;;Money must further the common good!;;;;;;;;;x
EVTDESCOryxRNG.02;Communism has not only been a dream of equality, it has also been a dream of power for the peoples leaders. While the traditional ideals of communism believe in a government for the people, the Russians perfected a much more realistic dictatorship of the proletariat.;Communism has not only been a dream of equality, it has also been a dream of power for the peoples leaders. While the traditional ideals of communism believe in a government for the people, the Russians perfected a much more realistic dictatorship of the proletariat.;Communism has not only been a dream of equality, it has also been a dream of power for the peoples leaders. While the traditional ideals of communism believe in a government for the people, the Russians perfected a much more realistic dictatorship of the proletariat.;;Communism has not only been a dream of equality, it has also been a dream of power for the peoples leaders. While the traditional ideals of communism believe in a government for the people, the Russians perfected a much more realistic dictatorship of the proletariat.;;;;;;;;;x
EVTOPTAOryxRNG.02;Well, why not follow Lenin?;Well, why not follow Lenin?;Well, why not follow Lenin?;;Well, why not follow Lenin?;;;;;;;;;x
EVTOPTBOryxRNG.02;No, no, NO!;No, no, NO!;No, no, NO!;;No, no, NO!;;;;;;;;;x
EVTDESCOryxRNG.05;As a right-wing politician, it is my duty to improve the economy and the state. As money flows through our national taxes, it is incredibly tempting to raise taxes to fill my own coffers.;As a right-wing politician, it is my duty to improve the economy and the state. As money flows through our national taxes, it is incredibly tempting to raise taxes to fill my own coffers.;As a right-wing politician, it is my duty to improve the economy and the state. As money flows through our national taxes, it is incredibly tempting to raise taxes to fill my own coffers.;;As a right-wing politician, it is my duty to improve the economy and the state. As money flows through our national taxes, it is incredibly tempting to raise taxes to fill my own coffers.;;;;;;;;;x
EVTOPTAOryxRNG.05;Well, more money is more money.;Well, more money is more money.;Well, more money is more money.;;Well, more money is more money.;;;;;;;;;x
EVTOPTBOryxRNG.05;Keep taxes low;Keep taxes low;Keep taxes low;;Keep taxes low;;;;;;;;;x
EVTDESCOryxRNG.06;Across history, the most successful fascists have been ones who seized the reigns of political power for themselves. While most were 'less than' successful, their legacy has affected the entire modern world.;Across history, the most successful fascists have been ones who seized the reigns of political power for themselves. While most were 'less than' successful, their legacy has affected the entire modern world.;Across history, the most successful fascists have been ones who seized the reigns of political power for themselves. While most were 'less than' successful, their legacy has affected the entire modern world.;;Across history, the most successful fascists have been ones who seized the reigns of political power for themselves. While most were 'less than' successful, their legacy has affected the entire modern world.;;;;;;;;;x
EVTOPTAOryxRNG.06;A firm hand to rule in a hard time;A firm hand to rule in a hard time;A firm hand to rule in a hard time;;A firm hand to rule in a hard time;;;;;;;;;x
EVTOPTBOryxRNG.06;No, no, NO!;No, no, NO!;No, no, NO!;;No, no, NO!;;;;;;;;;x
communist_dictator;Communist Dictator;Communist Dictator;Communist Dictator;;Communist Dictator;;;;;;;;;x
welfare_socialist;Full Welfare;Full Welfare;Full Welfare;;Full Welfare;;;;;;;;;x
limited_welfare;Limited Welfare;Limited Welfare;Limited Welfare;;Limited Welfare;;;;;;;;;x
facist_dictator;Fascist Totalitarian;Fascist Totalitarian;Fascist Totalitarian;;Fascist Totalitarian;;;;;;;;;x
neoliberal_trade;Full Free Trade;Full Free Trade;Full Free Trade;;Full Free Trade;;;;;;;;;x
limited_free_trade;Limited Free trade;Limited Free trade;Limited Free trade;;Limited Free trade;;;;;;;;;x
EVTDESCOryxRNG.07;Wealth is a natural part of any modern state. While bribery is a practice that is heavily punished, Pork and campaign donations are still exist as less shady methods of accumulation.;Wealth is a natural part of any modern state. While bribery is a practice that is heavily punished, Pork and campaign donations are still exist as less shady methods of accumulation.;Wealth is a natural part of any modern state. While bribery is a practice that is heavily punished, Pork and campaign donations are still exist as less shady methods of accumulation.;Wealth is a natural part of any modern state. While bribery is a practice that is heavily punished, Pork and campaign donations are still exist as less shady methods of accumulation.;;Wealth is a natural part of any modern state. While bribery is a practice that is heavily punished, Pork and campaign donations are still exist as less shady methods of accumulation.;;;;;;;;;x
EVTOPTAOryxRNG.07;All is legal;All is legal;All is legal;;All is legal;;;;;;;;;x
EVTOPTBOryxRNG.07;Why should I take money?;Why should I take money?;Why should I take money?;;Why should I take money?;;;;;;;;;x
EVTOPTCOryxRNG.07;Appropriate funds for non-profits;Appropriate funds for non-profits;Appropriate funds for non-profits;;Appropriate funds for non-profits;;;;;;;;;x
EVTDESCOryxpiety.01;All around me, more and more people are rejecting their parents gods. While the past generation may have been hindered by the word of God, this one should hopefully be one of 'progress.';All around me, more and more people are rejecting their parents gods. While the past generation may have been hindered by the word of God, this one should hopefully be one of 'progress.';All around me, more and more people are rejecting their parents gods. While the past generation may have been hindered by the word of God, this one should hopefully be one of 'progress.';;All around me, more and more people are rejecting their parents gods. While the past generation may have been hindered by the word of God, this one should hopefully be one of 'progress.';;;;;;;;;x
EVTOPTAOryxpiety.01;Reason above all!;Reason above all!;Reason above all!;;Reason above all!;;;;;;;;;x
EVTOPTBOryxpiety.01;Reason above all!;Reason above all!;Reason above all!;;Reason above all!;;;;;;;;;x
EVTOPTCOryxpiety.01;Reason above all!;Reason above all!;Reason above all!;;Reason above all!;;;;;;;;;x
EVTOPTDOryxpiety.01;Why change what works?;Why change what works?;Why change what works?;;Why change what works?;;;;;;;;;x
EVTDESCOryxpiety.02;As the days begin to number, I find myself more and more afflicted with a fear of the beyond. How can there be nothing there when we die? How can a spirit survive without a higher power?;As the days begin to number, I find myself more and more afflicted with a fear of the beyond. How can there be nothing there when we die? How can a spirit survive without a higher power?;As the days begin to number, I find myself more and more afflicted with a fear of the beyond. How can there be nothing there when we die? How can a spirit survive without a higher power?;;As the days begin to number, I find myself more and more afflicted with a fear of the beyond. How can there be nothing there when we die? How can a spirit survive without a higher power?;;;;;;;;;x
EVTOPTAOryxpiety.02;God will save Us!;God will save Us!;God will save Us!;;God will save Us!;;;;;;;;;x
EVTOPTBOryxpiety.02;God will save Us!;God will save Us!;God will save Us!;;God will save Us!;;;;;;;;;x
EVTOPTCOryxpiety.02;God will save Us!;God will save Us!;God will save Us!;;God will save Us!;;;;;;;;;x
EVTOPTDOryxpiety.02;But there is nothing there!;But there is nothing there!;But there is nothing there!;;But there is nothing there!;;;;;;;;;x
EVTDESCOryxpiety.03;To this day, many around me have found my lack of faith disturbing and unnatural. While none question my devotion, there are many around me who see that I could be more devoted to my faith, especially in the realm of politics.;To this day, many around me have found my lack of faith disturbing and unnatural. While none question my devotion, there are many around me who see that I could be more devoted to my faith, especially in the realm of politics.;To this day, many around me have found my lack of faith disturbing and unnatural. While none question my devotion, there are many around me who see that I could be more devoted to my faith, especially in the realm of politics.;;To this day, many around me have found my lack of faith disturbing and unnatural. While none question my devotion, there are many around me who see that I could be more devoted to my faith, especially in the realm of politics.;;;;;;;;;x
EVTOPTAOryxpiety.03;I must protect my values!;I must protect my values!;I must protect my values!;;I must protect my values!;;;;;;;;;x
EVTOPTBOryxpiety.03;Separation of Church and state!;Separation of Church and state!;Separation of Church and state!;;Separation of Church and state!;;;;;;;;;x
EVTDESCOryxpiety.04;While I have been happy with my life and system of beliefs so far, there are definitive arguments from the other side. Perhaps I should consider reflecting on my views on faith.;While I have been happy with my life and system of beliefs so far, there are definitive arguments from the other side. Perhaps I should consider reflecting on my views on faith.;While I have been happy with my life and system of beliefs so far, there are definitive arguments from the other side. Perhaps I should consider reflecting on my views on faith.;;While I have been happy with my life and system of beliefs so far, there are definitive arguments from the other side. Perhaps I should consider reflecting on my views on faith.;;;;;;;;;x
EVTOPTAOryxpiety.04;It is a convincing argument...;It is a convincing argument...;It is a convincing argument...;;It is a convincing argument...;;;;;;;;;x
EVTOPTBOryxpiety.04;It is a convincing argument...;It is a convincing argument...;It is a convincing argument...;;It is a convincing argument...;;;;;;;;;x
EVTOPTCOryxpiety.04;Why Change?;Why Change?;Why Change?;;Why Change?;;;;;;;;;x
EVTDESCOryxpiety.05;Many around have questioned my commitment to my system of beliefs. While my acceptance of the secular over the faithful has made many of my followers happy, they are convinced that I could still defend my stance with a stronger opinion.;Many around have questioned my commitment to my system of beliefs. While my acceptance of the secular over the faithful has made many of my followers happy, they are convinced that I could still defend my stance with a stronger opinion.;Many around have questioned my commitment to my system of beliefs. While my acceptance of the secular over the faithful has made many of my followers happy, they are convinced that I could still defend my stance with a stronger opinion.;;Many around have questioned my commitment to my system of beliefs. While my acceptance of the secular over the faithful has made many of my followers happy, they are convinced that I could still defend my stance with a stronger opinion.;;;;;;;;;x
EVTOPTAOryxpiety.05;Atheism over all!;Atheism over all!;Atheism over all!;;Atheism over all!;;;;;;;;;x
EVTOPTBOryxpiety.05;I should keep my stance;I should keep my stance;I should keep my stance;;I should keep my stance;;;;;;;;;x
EVTDESCOryxpiety.06;As I have been studying under my tutor, he has been imparting religion onto me. I attend worship every week, yet my tutor is also preaching a message of acceptance. I ought to confront my tutor over this divide.;As I have been studying under my tutor, he has been imparting religion onto me. I attend worship every week, yet my tutor is also preaching a message of acceptance. I ought to confront my tutor over this divide.;As I have been studying under my tutor, he has been imparting religion onto me. I attend worship every week, yet my tutor is also preaching a message of acceptance. I ought to confront my tutor over this divide.;;As I have been studying under my tutor, he has been imparting religion onto me. I attend worship every week, yet my tutor is also preaching a message of acceptance. I ought to confront my tutor over this divide.;;;;;;;;;x
EVTOPTAOryxpiety.06;Well, what do you think?;Well, what do you think?;Well, what do you think?;;Well, what do you think?;;;;;;;;;x
EVTDESCOryxpiety.07;Recently, my ward has come forward questioning my beliefs on faith and acceptance. It is my duty as a tutor to teach my ward the right way through life, faith, and reason.;Recently, my ward has come forward questioning my beliefs on faith and acceptance. It is my duty as a tutor to teach my ward the right way through life, faith, and reason.;Recently, my ward has come forward questioning my beliefs on faith and acceptance. It is my duty as a tutor to teach my ward the right way through life, faith, and reason.;;Recently, my ward has come forward questioning my beliefs on faith and acceptance. It is my duty as a tutor to teach my ward the right way through life, faith, and reason.;;;;;;;;;x
EVTOPTAOryxpiety.07;Let me teach you about Fundamentalism;Let me teach you about Fundamentalism;Let me teach you about Fundamentalism;;Let me teach you about Fundamentalism;;;;;;;;;x
EVTOPTBOryxpiety.07;Let me teach you about Atheism;Let me teach you about Atheism;Let me teach you about Atheism;;Let me teach you about Atheism;;;;;;;;;x
EVTOPTCOryxpiety.07;Let me teach you about Faithfulness;Let me teach you about Faithfulness;Let me teach you about Faithfulness;;Let me teach you about Faithfulness;;;;;;;;;x
EVTOPTDOryxpiety.07;Let me teach you about Agnosticism;Let me teach you about Agnosticism;Let me teach you about Agnosticism;;Let me teach you about Agnosticism;;;;;;;;;x
EVTDESCOryxpiety.08;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;;;;;;;;x
EVTOPTAOryxpiety.08;I follow...;I follow...;I follow...;;I follow...;;;;;;;;;x
EVTDESCOryxpiety.09;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;;;;;;;;x
EVTOPTAOryxpiety.09;I follow...;I follow...;I follow...;;I follow...;;;;;;;;;x
EVTDESCOryxpiety.10;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;;;;;;;;x
EVTOPTAOryxpiety.10;I follow...;I follow...;I follow...;;I follow...;;;;;;;;;x
EVTDESCOryxpiety.11;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;After confronting my tutor, I have learned much about reason and faith. My tutor has now shown me the way through life.;;;;;;;;;x
EVTOPTAOryxpiety.11;I follow...;I follow...;I follow...;;I follow...;;;;;;;;;x
EVTDESCOryxRNG.04;While browsing the internet today, you come across a series of comics, created by the people, poking fun at politics and international relations.;While browsing the internet today, you come across a series of comics, created by the people, poking fun at politics and international relations.;While browsing the internet today, you come across a series of comics, created by the people, poking fun at politics and international relations.;;While browsing the internet today, you come across a series of comics, created by the people, poking fun at politics and international relations.;;;;;;;;;x
EVTOPTAOryxRNG.04;Yes, Poland can't into Space;Yes, Poland can't into Space;Yes, Poland can't into Space;;Yes, Poland can't into Space;;;;;;;;;x
EVTDESCOryxRNG.04;Today while watching videos on the internet, you come across clips of a popular show reflecting on the faults of monarchical politics and civil war, all while entertaining their viewers with love and intrigue.;Today while watching videos on the internet, you come across clips of a popular show reflecting on the faults of monarchical politics and civil war, all while entertaining their viewers with love and intrigue.;Today while watching videos on the internet, you come across clips of a popular show reflecting on the faults of monarchical politics and civil war, all while entertaining their viewers with love and intrigue.;;Today while watching videos on the internet, you come across clips of a popular show reflecting on the faults of monarchical politics and civil war, all while entertaining their viewers with love and intrigue.;;;;;;;;;x
EVTOPTAOryxRNG.04;You either win or you die.;You either win or you die.;You either win or you die.;;You either win or you die.;;;;;;;;;x
EVTDESCOryxcourtfaith.01;My policies of tolerance and religious freedom have been known far and wide. Courtiers have come from around the globe to work in my court and execute my laws, regardless of their background and faith.;My policies of tolerance and religious freedom have been known far and wide. Courtiers have come from around the globe to work in my court and execute my laws, regardless of their background and faith.;My policies of tolerance and religious freedom have been known far and wide. Courtiers have come from around the globe to work in my court and execute my laws, regardless of their background and faith.;;My policies of tolerance and religious freedom have been known far and wide. Courtiers have come from around the globe to work in my court and execute my laws, regardless of their background and faith.;;;;;;;;;x
EVTOPTAOryxcourtfaith.01;Who is this new applicant?;Who is this new applicant?;Who is this new applicant?;;Who is this new applicant?;;;;;;;;;x
new_foriegner_court;A Foreigner Arrives at your court;A Foreigner Arrives at your court;A Foreigner Arrives at your court;;A Foreigner Arrives at your court;;;;;;;;;x
EVTDESCOryxcourtfaith.02;My religious head has decided to bless me with a generous donation due to my faithfulness.;My religious head has decided to bless me with a generous donation due to my faithfulness.;My religious head has decided to bless me with a generous donation due to my faithfulness.;;My religious head has decided to bless me with a generous donation due to my faithfulness.;;;;;;;;;x
EVTOPTAOryxcourtfaith.02;This will certainly help.;This will certainly help.;This will certainly help.;;This will certainly help.;;;;;;;;;x
EVTDESCOryxcourtfaith.03;I have decided to give some of the churches funds to a certain faithful monarch.This ruler can certainly use the funds better then I can.;I have decided to give some of the churches funds to a certain faithful monarch.This ruler can certainly use the funds better then I can.;I have decided to give some of the churches funds to a certain faithful monarch.This ruler can certainly use the funds better then I can.;;I have decided to give some of the churches funds to a certain faithful monarch.This ruler can certainly use the funds better then I can.;;;;;;;;;x
EVTOPTAOryxcourtfaith.03;All as it should be;All as it should be;All as it should be;;All as it should be;;;;;;;;;x
restore_soviet;Restore the USSR;Restore the USSR;Restore the USSR;;Restore the USSR;;;;;;;;;x
restore_soviet_desc;Under a new communist leader, and a revitalized Russian State, one could possibly proclaim a second Soviet Union.;Under a new communist leader, and a revitalized Russian State, one could possibly proclaim a second Soviet Union.;Under a new communist leader, and a revitalized Russian State, one could possibly proclaim a second Soviet Union.;;Under a new communist leader, and a revitalized Russian State, one could possibly proclaim a second Soviet Union.;;;;;;;;;x
EVTDESCOryxmarriage.01;As I watch a new couple ascend into society upon the marriage platform, I can't help but wonder what their life will be and how they will live it.;As I watch a new couple ascend into society upon the marriage platform, I can't help but wonder what their life will be and how they will live it.;As I watch a new couple ascend into society upon the marriage platform, I can't help but wonder what their life will be and how they will live it.;;As I watch a new couple ascend into society upon the marriage platform, I can't help but wonder what their life will be and how they will live it.;;;;;;;;;x
EVTOPTAOryxmarriage.01;A faithful pair;A faithful pair;A faithful pair;;A faithful pair;;;;;;;;;x
EVTOPTBOryxmarriage.01;I tolerate their marriage;I tolerate their marriage;I tolerate their marriage;;I tolerate their marriage;;;;;;;;;x
EVTOPTCOryxmarriage.01;WAIT STOP!;WAIT STOP!;WAIT STOP!;;WAIT STOP!;;;;;;;;;x
EVTDESCOryxmarriage.02;The marriage ordained by our parents has been one of dissent and anger. Our religious differences are to much to bear, and the rift between the two of us has done nothing but grow.;The marriage ordained by our parents has been one of dissent and anger. Our religious differences are to much to bear, and the rift between the two of us has done nothing but grow.;The marriage ordained by our parents has been one of dissent and anger. Our religious differences are to much to bear, and the rift between the two of us has done nothing but grow.;;The marriage ordained by our parents has been one of dissent and anger. Our religious differences are to much to bear, and the rift between the two of us has done nothing but grow.;;;;;;;;;x
EVTOPTAOryxmarriage.02;I think a divorce is in order;I think a divorce is in order;I think a divorce is in order;;I think a divorce is in order;;;;;;;;;x
EVTOPTBOryxmarriage.02;What is marriage but a trial?;What is marriage but a trial?;What is marriage but a trial?;;What is marriage but a trial?;;;;;;;;;x
EVTDESCOryxmarriage.03;My spouse has come before me with a lawyer, pushing papers of divorce into my hands. Our relationship has never been strong, and this new advance gives me relief, since I had worried that my spouse wanted to have this train wreck continue.;My spouse has come before me with a lawyer, pushing papers of divorce into my hands. Our relationship has never been strong, and this new advance gives me relief, since I had worried that my spouse wanted to have this train wreck continue.;My spouse has come before me with a lawyer, pushing papers of divorce into my hands. Our relationship has never been strong, and this new advance gives me relief, since I had worried that my spouse wanted to have this train wreck continue.;;My spouse has come before me with a lawyer, pushing papers of divorce into my hands. Our relationship has never been strong, and this new advance gives me relief, since I had worried that my spouse wanted to have this train wreck continue.;;;;;;;;;x
EVTOPTAOryxmarriage.03;Sign here...and here.;Sign here...and here.;Sign here...and here.;;Sign here...and here.;;;;;;;;;x
EVTOPTBOryxmarriage.03;Are you insane?;Are you insane?;Are you insane?;;Are you insane?;;;;;;;;;x
COMERAD;Comrade;Comrade;Comrade;;Comrade;;;;;;;;;x
EVTDESCOryxevents.41;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;;;;;;;;x
EVTDESCOryxevents.42;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;;;;;;;;x
EVTDESCOryxevents.43;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;;;;;;;;x
EVTDESCOryxevents.44;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;Today I pulled my wife aside and I told her about my political beliefs. While some ideas she countered with his own beliefs, she accepted other ideas.;;;;;;;;;x
